iter	Passed	Remaining
0	137	109767
1	145	58039
2	153	40697
3	155	30978
4	162	25796
5	165	21870
6	168	19069
7	174	17299
8	177	15610
9	180	14260
10	183	13154
11	186	12232
12	192	11654
13	198	11145
14	204	10700
15	210	10316
16	216	9976
17	219	9518
18	223	9175
19	229	8942
20	231	8597
21	233	8271
22	240	8114
23	242	7830
24	248	7700
25	254	7577
26	256	7342
27	262	7241
28	264	7040
29	267	6877
30	270	6701
31	273	6552
32	274	6389
33	280	6325
34	287	6276
35	289	6145
36	295	6097
37	301	6050
38	307	6006
39	309	5888
40	315	5849
41	322	5824
42	324	5719
43	330	5684
44	335	5625
45	339	5561
46	343	5498
47	349	5473
48	355	5445
49	357	5362
50	363	5340
51	367	5279
52	372	5256
53	379	5238
54	382	5178
55	388	5161
56	394	5141
57	400	5124
58	406	5108
59	413	5095
60	415	5037
61	422	5028
62	428	5013
63	435	5004
64	441	4993
65	448	4984
66	454	4973
67	458	4936
68	461	4891
69	467	4877
70	470	4834
71	476	4820
72	482	4809
73	488	4795
74	495	4787
75	498	4746
76	505	4742
77	510	4729
78	513	4686
79	519	4674
80	522	4637
81	528	4625
82	532	4597
83	535	4561
84	537	4525
85	544	4517
86	550	4509
87	554	4484
88	560	4475
89	562	4437
90	568	4427
91	571	4401
92	577	4391
93	580	4361
94	586	4351
95	592	4344
96	598	4335
97	604	4327
98	608	4305
99	613	4296
100	619	4287
101	623	4269
102	630	4263
103	635	4254
104	640	4238
105	644	4219
106	647	4193
107	651	4172
108	657	4169
109	663	4163
110	669	4156
111	675	4148
112	678	4124
113	680	4095
114	686	4087
115	690	4068
116	696	4063
117	701	4056
118	707	4049
119	710	4026
120	716	4019
121	722	4015
122	725	3991
123	728	3969
124	731	3951
125	737	3946
126	744	3944
127	750	3937
128	756	3932
129	758	3911
130	761	3887
131	767	3883
132	773	3878
133	776	3858
134	781	3851
135	784	3831
136	791	3828
137	797	3824
138	803	3822
139	809	3817
140	812	3797
141	818	3793
142	824	3787
143	829	3780
144	835	3776
145	841	3770
146	847	3764
147	850	3747
148	856	3741
149	861	3735
150	868	3732
151	874	3727
152	880	3723
153	886	3717
154	892	3712
155	898	3709
156	904	3703
157	910	3697
158	916	3693
159	922	3688
160	928	3683
161	930	3666
162	936	3660
163	943	3657
164	947	3645
165	953	3640
166	957	3628
167	963	3623
168	965	3606
169	968	3588
170	973	3582
171	979	3577
172	985	3572
173	987	3554
174	993	3548
175	996	3533
176	999	3518
177	1005	3512
178	1011	3508
179	1017	3504
180	1019	3486
181	1022	3471
182	1028	3466
183	1033	3461
184	1039	3457
185	1046	3452
186	1051	3448
187	1057	3443
188	1063	3438
189	1069	3434
190	1075	3429
191	1077	3413
192	1083	3408
193	1089	3403
194	1093	3392
195	1099	3386
196	1102	3375
197	1104	3359
198	1110	3354
199	1114	3343
200	1120	3338
201	1126	3334
202	1132	3330
203	1138	3327
204	1144	3323
205	1150	3317
206	1157	3314
207	1163	3310
208	1168	3304
209	1174	3299
210	1180	3294
211	1186	3289
212	1192	3285
213	1197	3280
214	1203	3274
215	1209	3269
216	1214	3263
217	1220	3258
218	1226	3254
219	1232	3248
220	1238	3244
221	1243	3238
222	1249	3234
223	1255	3228
224	1261	3223
225	1267	3218
226	1273	3215
227	1279	3209
228	1285	3204
229	1291	3200
230	1297	3196
231	1303	3191
232	1309	3185
233	1314	3180
234	1320	3175
235	1326	3169
236	1332	3164
237	1338	3160
238	1344	3154
239	1349	3149
240	1355	3144
241	1361	3139
242	1367	3134
243	1373	3128
244	1379	3123
245	1385	3119
